node_id,ISO3,visual_factor,status,disease_count,avg_residual,cis_avg
LKA-Research_Capacity,LKA,Research_Capacity,Under,3,-1.5367866990222752,0.029514781373726692
LSO-Research_Capacity,LSO,Research_Capacity,Over_Performing,2,2.0293503254749976,-0.2041296545194875
LTU-As_Expected,LTU,As_Expected,Borderline,7,0.29435703449156625,0.009043604806531777
LTU-Health_Infrastructure,LTU,Health_Infrastructure,Under,2,-2.1025807555430647,0.03648555419333289
LTU-Research_Capacity,LTU,Research_Capacity,As_Expected,4,0.37142846693728504,-0.0811074103262854
LUX-As_Expected,LUX,As_Expected,Borderline,5,-0.25769088837594845,0.057556147473425245
LUX-Multiple_Factors,LUX,Multiple_Factors,Under,3,-2.24362699935968,0.06359358563208238
LUX-Research_Capacity,LUX,Research_Capacity,Under,2,-3.141248284235804,0.053012047672261364
LVA-Governance,LVA,Governance,Under,2,-2.6267991731835063,0.0718218692821176
LVA-Health_Infrastructure,LVA,Health_Infrastructure,Under,4,-2.325834180016226,0.04929023137310551
LVA-Multiple_Factors,LVA,Multiple_Factors,Under,4,-1.4958563487766001,0.038861031780213925
LVA-Research_Capacity,LVA,Research_Capacity,Under,4,-0.04367674106875097,-0.004408149561831401
MAR-As_Expected,MAR,As_Expected,Borderline,3,-0.15761815883476615,-0.020710674361066845
MAR-Governance,MAR,Governance,Under,2,-2.243096482876285,0.06485762150628278
MAR-Health_Infrastructure,MAR,Health_Infrastructure,Under,2,-1.6956941743930054,0.03756540923506641
MAR-Multiple_Factors,MAR,Multiple_Factors,Under,2,-1.3249749816977499,0.04161612123697038
MAR-Research_Capacity,MAR,Research_Capacity,Under,5,-1.2526926563437955,0.1116231270825219
MCO-Governance,MCO,Governance,Under,2,-3.388484691757289,0.07593379104402076
MCO-Research_Capacity,MCO,Research_Capacity,Under,3,-3.0822481524976753,0.05669804821780411
MDA-Governance,MDA,Governance,Under,2,-1.5784766891242858,0.06426361772577757
MDA-Health_Infrastructure,MDA,Health_Infrastructure,Under,4,-1.3551038430734463,0.038091606020962704
MDA-Multiple_Factors,MDA,Multiple_Factors,Under,2,-2.8723764376108383,0.03768951156342751
MDA-Research_Capacity,MDA,Research_Capacity,Under,4,-1.8516013343473432,0.046777387999889154
MDG-As_Expected,MDG,As_Expected,Borderline,3,0.8199177907013313,-0.09604025553329869
MDG-Health_Infrastructure,MDG,Health_Infrastructure,As_Expected,2,0.1336072334849333,0.006728491118255029
MEX-As_Expected,MEX,As_Expected,Borderline,13,0.36079445382480296,-0.08783164280632277
MEX-Health_Infrastructure,MEX,Health_Infrastructure,As_Expected,2,0.04327676148776083,-0.020297179394785266
MKD-As_Expected,MKD,As_Expected,Borderline,3,0.10806889846516121,0.015922609296525628
MKD-Governance,MKD,Governance,Under,2,-1.1722797656374988,0.0593131474148956
MKD-Health_Infrastructure,MKD,Health_Infrastructure,As_Expected,2,-1.809740841079413,-0.014754903196783343
MKD-Multiple_Factors,MKD,Multiple_Factors,Under,2,-2.967323701009288,0.054828428728956394
MKD-Research_Capacity,MKD,Research_Capacity,Under,3,-1.0495282149923766,0.030902623569820434
MLI-As_Expected,MLI,As_Expected,Borderline,4,0.060290250102446624,-0.014640747364426493
MLI-Health_Infrastructure,MLI,Health_Infrastructure,As_Expected,2,-0.6132149096482367,-0.020755428800626412
MLI-Multiple_Factors,MLI,Multiple_Factors,Under,2,-0.28926351047708354,-0.008511092495834788
MLI-Research_Capacity,MLI,Research_Capacity,Under,2,0.418338266038079,0.008032678997356813
MLT-Research_Capacity,MLT,Research_Capacity,Under,3,-0.8146199315420016,0.008360505311434294
